Utterance,Speaker,Emotion,Strategy,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime
It felt like forever for one minute to turn into the next.,Client,sadness,undefined,1,4,1,1,"00:03:12,056","00:03:15,145"
"I thought to myself,",Client,sadness,undefined,1,5,1,1,"00:03:15,924","00:03:17,106"
"how stupiis this,",Client,sadness,undefined,1,6,1,1,"00:03:17,236","00:03:18,934"
dying on the street like roadkill outside your therapist's office?,Client,sadness,undefined,1,7,1,1,"00:03:19,734","00:03:23,578"
"I'm sorry, Paul.",Client,sadness,undefined,1,8,1,1,"00:03:36,800","00:03:38,362"
I should have called it off.I shouldn't have come.,Client,sadness,undefined,1,9,1,1,"00:03:39,310","00:03:41,471"
You should have come here.,Therapist,neutral,Approval,1,10,1,1,"00:03:41,672","00:03:43,023"
What happened last night?,Therapist,neutral,Open question,1,11,1,1,"00:03:47,999","00:03:49,314"
"Well,",Client,sadness,undefined,1,12,1,1,"00:03:52,475","00:03:53,323"
what didn't happen?,Client,sadness,undefined,1,13,1,1,"00:03:53,418","00:03:54,528"
The long version or the bottom line?,Client,sadness,undefined,1,14,1,1,"00:03:57,864","00:03:59,928"
Because the bottom line is very simple.,Client,sadness,undefined,1,15,1,1,"00:04:01,268","00:04:03,100"
My life is over.,Client,sadness,undefined,1,16,1,1,"00:04:05,969","00:04:07,067"
"Then,",Therapist,neutral,Communication Skills,1,17,1,1,"00:04:07,910","00:04:08,733"
you'd better tell me the long version.,Therapist,neutral,Communication Skills,1,18,1,1,"00:04:09,128","00:04:10,900"
I left Andrew.,Client,sadness,undefined,1,19,1,1,"00:04:20,991","00:04:22,129"
We had a,Client,sadness,undefined,1,20,1,1,"00:04:22,943","00:04:23,792"
big blowout.,Client,sadness,undefined,1,21,1,1,"00:04:23,923","00:04:24,966"
"Screaming, crying. The works.",Client,sadness,undefined,1,22,1,1,"00:04:25,503","00:04:27,543"
"And at some point i,",Client,sadness,undefined,1,23,1,1,"00:04:28,805","00:04:30,399"
I called Alona and,Client,sadness,undefined,1,24,1,1,"00:04:30,419","00:04:32,039"
we went out for a drink.,Client,sadness,undefined,1,25,1,1,"00:04:32,059","00:04:33,827"
We had a few drinks.,Client,sadness,undefined,1,26,1,1,"00:04:35,141","00:04:36,877"
"Listen, I'm not here. I'm.",Client,sadness,undefined,2,0,1,1,"00:04:38,908","00:04:40,394"
I'm so totally not here.,Client,sadness,undefined,2,1,1,1,"00:04:40,517","00:04:42,707"
"You are very much here,",Therapist,neutral,Approval,2,2,1,1,"00:04:42,901","00:04:44,746"
Laura.,Therapist,neutral,Approval,2,3,1,1,"00:04:44,882","00:04:45,692"
"No, it's not me that's here.",Client,sadness,undefined,2,4,1,1,"00:04:48,866","00:04:50,487"
"Believe me, you'd be shocked to know the person that's sitting here.",Client,sadness,undefined,2,5,1,1,"00:04:53,602","00:04:56,632"
I did some.,Client,disgust,undefined,2,6,1,1,"00:04:57,440","00:04:58,617"
I did some terrible things last night.,Client,disgust,undefined,2,7,1,1,"00:04:59,199","00:05:01,109"
I feel sick.,Client,disgust,undefined,2,8,1,1,"00:05:10,937","00:05:12,191"
But I don't wanna throw up.,Client,disgust,undefined,2,9,1,1,"00:05:14,360","00:05:15,765"
"It doesn't matter, it's no big deal.",Therapist,neutral,Communication Skills,2,10,1,1,"00:05:16,534","00:05:18,213"
What do you mean?,Client,disgust,undefined,2,11,1,1,"00:05:18,242","00:05:19,424"
It's vomit. I'm not gonna,Client,disgust,undefined,2,12,1,1,"00:05:19,598","00:05:21,016"
vomit all over your rug.,Client,disgust,undefined,2,13,1,1,"00:05:21,036","00:05:22,666"
"It's a cheap rug, Laura.",Therapist,neutral,Communication Skills,2,14,1,1,"00:05:22,723","00:05:24,106"
Let's talk about what's,Therapist,neutral,Guiding the Pace and Depth of the Conversation,2,15,1,1,"00:05:26,342","00:05:27,932"
really going on here.,Therapist,neutral,Guiding the Pace and Depth of the Conversation,2,16,1,1,"00:05:28,136","00:05:29,560"
It's Andrew.,Client,depression,undefined,2,17,1,1,"00:05:52,120","00:05:53,316"
He knows i'm here at this time. Why is he calling me here?,Client,depression,undefined,2,18,1,1,"00:05:55,168","00:05:57,574"
Maybe he's worried.,Therapist,neutral,Interpretation,2,19,1,1,"00:05:57,594","00:05:58,772"
You were out of the house all night.,Therapist,neutral,Interpretation,2,20,1,1,"00:05:58,824","00:06:01,050"
"Yeah, right.",Client,depression,undefined,2,21,1,1,"00:05:58,824","00:06:01,050"
"If he really cared, he wouldn't have started with his shit.",Client,anger,undefined,3,0,1,1,"00:06:01,092","00:06:03,542"
Start what?,Therapist,neutral,Open question,3,1,1,1,"00:06:03,603","00:06:04,658"
"At the club, this guy.",Client,disgust,undefined,3,2,1,1,"00:06:10,949","00:06:12,762"
Oh my god.,Client,disgust,undefined,3,3,1,1,"00:06:16,182","00:06:17,340"
"He had corduroy pants on,",Client,disgust,undefined,3,4,1,1,"00:06:23,209","00:06:25,428"
Preppy Sweater.,Client,disgust,undefined,3,5,1,1,"00:06:25,746","00:06:26,883"
"A republican, probably.",Client,disgust,undefined,3,6,1,1,"00:06:28,795","00:06:30,351"
"You know can I just step out for a second and let him know I'm here I mean,",Client,anger,undefined,3,7,1,1,"00:06:35,530","00:06:38,600"
I can't concentrate with this shit.,Client,anger,undefined,3,8,1,1,"00:06:38,620","00:06:40,709"
Just a sec.,Client,anger,undefined,3,9,1,1,"00:06:41,531","00:06:44,140"
"Laura, the call can wait.",Therapist,neutral,Communication Skills,3,10,1,1,"00:06:41,531","00:06:44,140"
"Andrew gave me an ultimatum,",Client,sadness,undefined,3,11,1,1,"00:07:03,873","00:07:05,689"
either we get married or we split.,Client,sadness,undefined,3,12,1,1,"00:07:07,433","00:07:09,427"
He said he wants an answer in a day or two at the most or else he's out.,Client,sadness,undefined,3,13,1,1,"00:07:10,723","00:07:13,694"
"He said he can't take it anymore,",Client,sadness,undefined,3,14,1,1,"00:07:15,292","00:07:16,912"
"that he loves me, that he doesn't believe I love him.",Client,sadness,undefined,3,15,1,1,"00:07:18,536","00:07:20,793"
"Not for real,",Client,sadness,undefined,3,16,1,1,"00:07:20,918","00:07:21,972"
that it's been two years already on and off.,Client,sadness,undefined,3,17,1,1,"00:07:23,076","00:07:25,773"
Blah blah blah.,Client,sadness,undefined,3,18,1,1,"00:07:25,793","00:07:27,085"
"I don't know why, all of a sudn",Client,sadness,undefined,3,19,1,1,"00:07:28,133","00:07:30,384"
he just started ranting and raving.,Client,sadness,undefined,3,20,1,1,"00:07:30,732","00:07:32,391"
We've talked about this stuff before.,Client,sadness,undefined,3,21,1,1,"00:07:33,728","00:07:35,676"
"But it was all in theory, if we stayed together.",Client,sadness,undefined,3,22,1,1,"00:07:36,631","00:07:38,753"
If.,Client,sadness,undefined,3,23,1,1,"00:07:38,888","00:07:39,693"
"And suddenly, out of the blue, I",Client,disgust,undefined,3,24,1,1,"00:07:40,933","00:07:42,669"
I can't even remember what we were doing.,Client,disgust,undefined,3,25,1,1,"00:07:42,894","00:07:44,882"
We were watching Tv.,Client,anger,undefined,4,0,1,1,"00:07:46,118","00:07:47,339"
"All of a sudden he just,",Client,anger,undefined,4,1,1,1,"00:07:48,187","00:07:49,418"
gets off the couch and grabs the remote and turns off the Tv,Client,anger,undefined,4,2,1,1,"00:07:49,438","00:07:52,222"
"and he turns to me and he has tears in his eyes and he says,",Client,anger,undefined,4,3,1,1,"00:07:52,242","00:07:54,932"
that's it. I can't take it anymore.,Client,anger,undefined,4,4,1,1,"00:07:54,952","00:07:56,853"
So out of line.,Client,anger,undefined,4,5,1,1,"00:07:59,160","00:08:00,357"
Promised he'd lay off the subject for awhile,Client,anger,undefined,4,6,1,1,"00:08:00,784","00:08:03,021"
and all of a sudden he's on this crying bullshit.,Client,anger,undefined,4,7,1,1,"00:08:03,272","00:08:06,070"
He actually burst out crying.,Client,anger,undefined,4,8,1,1,"00:08:06,211","00:08:07,737"
I've never seen him like that before.,Client,anger,undefined,4,9,1,1,"00:08:08,047","00:08:09,648"
"And to tell you the truth, it really scared me.",Client,anger,undefined,4,10,1,1,"00:08:10,652","00:08:12,675"
"No, it made me angry.",Client,anger,undefined,4,11,1,1,"00:08:13,576","00:08:15,384"
Why?,Therapist,neutral,Open question,4,12,1,1,"00:08:13,576","00:08:15,384"
Because he's trying to manipulate me with these. These cheap chick tricks.,Client,anger,undefined,4,13,1,1,"00:08:15,699","00:08:19,029"
"Maybe he thought he would break my heart or something,",Client,anger,undefined,4,14,1,1,"00:08:20,265","00:08:22,889"
appeal to my.,Client,anger,undefined,4,15,1,1,"00:08:24,247","00:08:25,750"
"Shit, you know, forget it. I don't know.",Client,anger,undefined,4,16,1,1,"00:08:26,431","00:08:28,536"
I threw a tantrum,Client,anger,undefined,4,17,1,1,"00:08:29,739","00:08:30,953"
like a three-year-old.,Client,anger,undefined,4,18,1,1,"00:08:31,486","00:08:32,780"
"Screamed, cried,",Client,anger,undefined,4,19,1,1,"00:08:33,104","00:08:34,898"
told him to fuck off.,Client,anger,undefined,4,20,1,1,"00:08:36,487","00:08:38,339"
I told him he was,Client,disgust,undefined,4,21,1,1,"00:08:39,883","00:08:41,034"
a little piece of shit for doing this,Client,disgust,undefined,4,22,1,1,"00:08:41,231","00:08:42,821"
to me when he knows that I'm working double shifts at the hospital this week.,Client,disgust,undefined,4,23,1,1,"00:08:42,841","00:08:46,038"
"I slammed the door,",Client,disgust,undefined,4,24,1,1,"00:08:47,249","00:08:48,541"
smashed his laptop on the floor. I killed it.,Client,disgust,undefined,4,25,1,1,"00:08:49,550","00:08:52,077"
I ran out and I called Alona.,Client,depression,undefined,5,0,1,1,"00:08:52,632","00:08:54,225"
She dressed me in this outfit.,Client,depression,undefined,5,1,1,1,"00:08:55,260","00:08:56,763"
"It's, it's not mine.",Client,depression,undefined,5,2,1,1,"00:09:00,613","00:09:02,138"
We went out for a drink,Client,depression,undefined,5,3,1,1,"00:09:04,337","00:09:05,938"
at a club that she likes on chester st.,Client,depression,undefined,5,4,1,1,"00:09:06,437","00:09:08,493"
"She tried to calm me down, put things into perspective.",Client,depression,undefined,5,5,1,1,"00:09:08,780","00:09:11,693"
And she said.,Client,depression,undefined,5,6,1,1,"00:09:13,417","00:09:14,457"
"She said I was Lucky,",Client,depression,undefined,5,7,1,1,"00:09:17,098","00:09:18,827"
that she wished somebody loved her enough to give her an ultimatum.,Client,depression,undefined,5,8,1,1,"00:09:21,835","00:09:24,729"
And then we drank.,Client,depression,undefined,5,9,1,1,"00:09:29,891","00:09:31,086"
"Well,",Client,depression,undefined,5,10,1,1,"00:09:31,359","00:09:32,170"
i drank.,Client,depression,undefined,5,11,1,1,"00:09:32,488","00:09:33,748"
"And, there was this guy at the bar,",Client,depression,undefined,5,12,1,1,"00:09:35,070","00:09:37,730"
and at some point Alona said that she was tired,Client,depression,undefined,5,13,1,1,"00:09:38,688","00:09:40,986"
and that she needed to go home.,Client,depression,undefined,5,14,1,1,"00:09:41,006","00:09:42,559"
And then that guy...,Client,depression,undefined,5,15,1,1,"00:09:43,122","00:09:44,748"
"Moved next to me and,",Client,depression,undefined,5,16,1,1,"00:09:46,649","00:09:48,610"
you know what he said?,Client,depression,undefined,5,17,1,1,"00:09:49,797","00:09:51,318"
"He said,",Client,depression,undefined,5,18,1,1,"00:09:51,738","00:09:52,760"
you look so sad.,Client,depression,undefined,5,19,1,1,"00:09:53,353","00:09:54,991"
"And I said, really?",Client,depression,undefined,5,20,1,1,"00:09:56,620","00:09:57,829"
"And he said, yeah, you do.",Client,depression,undefined,5,21,1,1,"00:09:58,595","00:10:00,257"
It looks good on you.,Client,depression,undefined,5,22,1,1,"00:10:00,701","00:10:02,244"
Looks good on you.,Client,depression,undefined,5,23,1,1,"00:10:05,471","00:10:06,687"
"I mean, whatever happened to",Client,joy,undefined,5,24,1,1,"00:10:07,227","00:10:09,378"
: do you have the time?,Client,joy,undefined,5,25,1,1,"00:10:07,227","00:10:09,378"
Or haven't we met before?,Client,joy,undefined,5,26,1,1,"00:10:09,398","00:10:11,066"
"I must be totally out of touch, Paul.",Client,joy,undefined,5,27,1,1,"00:10:11,818","00:10:13,564"
"What do you think? Client: I mean, do I look good when I'm sad?",Client,joy,undefined,5,28,1,1,"00:10:15,869","00:10:18,729"
I...,Therapist,neutral,Self-disclosure,5,29,1,1,"00:10:21,368","00:10:22,449"
I don't think anybody looks good when they're sad.,Therapist,neutral,Self-disclosure,5,30,1,1,"00:10:22,524","00:10:24,877"
"And then,",Client,depression,undefined,6,0,1,1,"00:10:32,780","00:10:33,780"
"I don't know how much I had to drink cause he was ordering for me, of course.",Client,depression,undefined,6,1,1,1,"00:10:35,650","00:10:39,547"
"And then he, paid the Bill and he asked me,",Client,depression,undefined,6,2,1,1,"00:10:39,706","00:10:42,297"
"would you like to go somewhere else? And I said,",Client,depression,undefined,6,3,1,1,"00:10:42,390","00:10:44,590"
"yes, I'd like to go to the bathroom.",Client,depression,undefined,6,4,1,1,"00:10:45,323","00:10:46,924"
So I stood up and I went to the bathroom.,Client,depression,undefined,6,5,1,1,"00:10:46,969","00:10:49,381"
He follows me.,Client,depression,undefined,6,6,1,1,"00:10:49,892","00:10:51,030"
"And you wouldn't believe it, but these were unisex bathrooms.",Client,disgust,undefined,6,7,1,1,"00:10:52,072","00:10:55,139"
Am I'm Lucky or what?,Client,disgust,undefined,6,8,1,1,"00:10:55,937","00:10:57,550"
"How do you mean, i'm Lucky?",Therapist,neutral,Open question,6,9,1,1,"00:10:58,365","00:10:59,889"
"Well, I'm, I'm running away from a guy and I'm.",Client,disgust,undefined,6,10,1,1,"00:11:00,719","00:11:02,934"
"Yeah, you were trying to get away from the guy.",Therapist,neutral,Restatement,6,11,1,1,"00:11:02,983","00:11:05,155"
"Right. I mean,",Client,joy,undefined,6,12,1,1,"00:11:05,175","00:11:06,188"
"I needed to pee, you know, by myself. I've been doing that since I was three.",Client,joy,undefined,6,13,1,1,"00:11:06,208","00:11:09,433"
So I realized i needed to make a decision.,Client,neutral,undefined,6,14,1,1,"00:11:13,773","00:11:15,818"
By following me to the bathroom this guy was also giving me an ultimatum.,Client,disgust,undefined,6,15,1,1,"00:11:16,989","00:11:20,366"
"I thought, fuck, out of the pan and into the fire.",Client,disgust,undefined,6,16,1,1,"00:11:22,016","00:11:24,624"
I ran away from one ultimatum,Client,disgust,undefined,6,17,1,1,"00:11:24,708","00:11:26,328"
and there was this guy with a hard-on giving me another.,Client,disgust,undefined,6,18,1,1,"00:11:26,425","00:11:29,334"
Suddenly I felt like doing it.,Client,disgust,undefined,6,19,1,1,"00:11:33,479","00:11:35,042"
I never had sex in a bathroom before.,Client,disgust,undefined,6,20,1,1,"00:11:39,236","00:11:41,183"
"I mean, what?",Client,disgust,undefined,6,21,1,1,"00:11:44,291","00:11:45,296"
I should go and Marry Andrew without ever knowing,Client,disgust,undefined,6,22,1,1,"00:11:45,739","00:11:47,974"
what a good bathroom fuck's all about?,Client,disgust,undefined,6,23,1,1,"00:11:47,994","00:11:49,755"
"It's part of a young lady's education, isn't it?",Client,disgust,undefined,6,24,1,1,"00:11:51,341","00:11:53,502"
So you wanted to do i,Therapist,neutral,Interpretation,6,25,1,1,"00:11:54,101","00:11:55,776"
but not to get back at Andrew?,Therapist,neutral,Interpretation,6,26,1,1,"00:11:56,379","00:11:58,500"
Just for yourself?,Therapist,neutral,Interpretation,6,27,1,1,"00:11:59,086","00:12:00,396"
That's right.,Client,neutral,undefined,6,28,1,1,"00:12:00,537","00:12:01,424"
A girl being forced into marriage.,Client,neutral,undefined,6,29,1,1,"00:12:04,603","00:12:06,428"
"What's she supposed to do, die ignorant?",Client,neutral,undefined,6,30,1,1,"00:12:08,070","00:12:10,019"
So this guy follows me into the stall and,Client,joy,undefined,7,0,1,1,"00:12:12,871","00:12:15,502"
suddenly,Client,joy,undefined,7,1,1,1,"00:12:17,034","00:12:18,075"
I was horny.,Client,joy,undefined,7,2,1,1,"00:12:19,983","00:12:20,983"
Is hearing about this disgusting to you?,Client,joy,undefined,7,3,1,1,"00:12:24,518","00:12:26,293"
"No,",Therapist,neutral,Approval,7,4,1,1,"00:12:26,484","00:12:27,304"
it's not disgusting.,Therapist,neutral,Approval,7,5,1,1,"00:12:27,529","00:12:28,686"
Go on.,Therapist,neutral,Communication Skills,7,6,1,1,"00:12:29,969","00:12:30,969"
"He unzipped,",Client,joy,undefined,7,7,1,1,"00:12:34,594","00:12:35,711"
"pulled down his pants,",Client,joy,undefined,7,8,1,1,"00:12:37,108","00:12:38,767"
and he stood there with his,Client,joy,undefined,7,9,1,1,"00:12:39,091","00:12:40,769"
huge.,Client,joy,undefined,7,10,1,1,"00:12:42,184","00:12:43,226"
"God, I felt like I was 16...",Client,joy,undefined,7,11,1,1,"00:12:47,434","00:12:49,324"
Touching it for the very first time.,Client,joy,undefined,7,12,1,1,"00:12:53,729","00:12:55,465"
I was really,Client,joy,undefined,7,13,1,1,"00:12:56,788","00:12:57,977"
surprised at how.,Client,joy,undefined,7,14,1,1,"00:12:58,332","00:12:59,521"
Warm it felt.,Client,joy,undefined,7,15,1,1,"00:13:00,583","00:13:02,088"
"I mean, don't I know that already?",Client,joy,undefined,7,16,1,1,"00:13:03,379","00:13:04,999"
And then he...,Client,depression,undefined,7,17,1,1,"00:13:06,980","00:13:08,022"
turned me around to face the door...,Client,depression,undefined,7,18,1,1,"00:13:08,568","00:13:10,691"
And he pulled down my stockings.,Client,depression,undefined,7,19,1,1,"00:13:13,336","00:13:15,020"
"He lifted up my skirt,",Client,depression,undefined,7,20,1,1,"00:13:17,517","00:13:18,790"
put his hand into his back pocket and pulled out a condom.,Client,depression,undefined,7,21,1,1,"00:13:20,451","00:13:23,270"
I realize this guy's very good at this. He does this a lot.,Client,depression,undefined,7,22,1,1,"00:13:25,382","00:13:27,885"
He's a real pro.,Client,depression,undefined,7,23,1,1,"00:13:28,753","00:13:29,853"
And then this...,Client,depression,undefined,7,24,1,1,"00:13:31,308","00:13:32,308"
guy entered the stall next to us and started peeing...,Client,depression,undefined,7,25,1,1,"00:13:33,503","00:13:36,803"
"In gushes, full volume like a racehorse.",Client,depression,undefined,7,26,1,1,"00:13:38,171","00:13:40,670"
"I thought of Andrew,",Client,sadness,undefined,8,0,1,1,"00:13:46,273","00:13:47,648"
"how he pees in the morning,",Client,sadness,undefined,8,1,1,1,"00:13:51,444","00:13:52,833"
making the same sound.,Client,sadness,undefined,8,2,1,1,"00:13:53,273","00:13:54,704"
My heart ached. I just...,Client,sadness,undefined,8,3,1,1,"00:13:57,016","00:13:58,279"
"It was so stupid, you know? I just felt",Client,sadness,undefined,8,4,1,1,"00:14:02,573","00:14:04,467"
so sad all of a sudden.,Client,sadness,undefined,8,5,1,1,"00:14:04,755","00:14:06,421"
And he's behind me and he's rubbing up against me,Client,sadness,undefined,8,6,1,1,"00:14:07,376","00:14:09,424"
and he's feeling me up...,Client,sadness,undefined,8,7,1,1,"00:14:09,444","00:14:10,713"
"I thought to myself, it's gonna happen any moment. And I just...",Client,sadness,undefined,8,8,1,1,"00:14:13,054","00:14:16,083"
I just couldn't do it.,Client,sadness,undefined,8,9,1,1,"00:14:18,629","00:14:19,984"
I simply closed my legs shut.,Client,sadness,undefined,8,10,1,1,"00:14:20,683","00:14:22,651"
I couldn't do it. I couldn't do it to Andrew.,Client,sadness,undefined,8,11,1,1,"00:14:23,000","00:14:24,883"
I just couldn't do it.,Client,sadness,undefined,8,12,1,1,"00:14:24,921","00:14:26,237"
Seems like quite a night out.,Therapist,neutral,Communication Skills,8,13,1,1,"00:14:32,954","00:14:34,286"
"Yeah, that's not the end of it",Client,depression,undefined,8,14,1,1,"00:14:34,896","00:14:36,446"
"because this idiot...I told him,",Client,depression,undefined,8,15,1,1,"00:14:36,466","00:14:39,001"
I'm really sorry but I have a boyfriend. I can't do this.,Client,depression,undefined,8,16,1,1,"00:14:40,075","00:14:43,297"
And he laughs in my face and says boohoo.,Client,disgust,undefined,8,17,1,1,"00:14:43,382","00:14:45,157"
"And he grabs my hands and he says, listen, cupcake,",Client,disgust,undefined,8,18,1,1,"00:14:45,195","00:14:47,588"
you think you can leave me high and dry like this?,Client,disgust,undefined,8,19,1,1,"00:14:47,982","00:14:50,163"
Pointing at his dick.,Client,disgust,undefined,8,20,1,1,"00:14:50,203","00:14:51,714"
The least you can do is make it up to me.,Client,disgust,undefined,8,21,1,1,"00:14:51,866","00:14:54,129"
"I said to him, what do you want?",Client,disgust,undefined,8,22,1,1,"00:14:54,805","00:14:56,773"
You want some money?,Client,disgust,undefined,8,23,1,1,"00:14:57,048","00:14:58,413"
"He said, give me a hand job",Client,disgust,undefined,8,24,1,1,"00:14:58,908","00:15:00,683"
and there'll be no hard feelings.,Client,disgust,undefined,8,25,1,1,"00:15:01,477","00:15:03,351"
"And I said to him, what's the matter with you? Are you crazy?",Client,anger,undefined,8,26,1,1,"00:15:04,161","00:15:07,305"
"And it was just getting really strange. I mean, it was tense.",Client,anger,undefined,8,27,1,1,"00:15:07,538","00:15:10,463"
His tone changed.,Client,anger,undefined,8,28,1,1,"00:15:10,521","00:15:12,142"
And then I thought of you...,Client,disgust,undefined,8,29,1,1,"00:15:17,741","00:15:19,073"
What you'd say about it.,Client,disgust,undefined,8,30,1,1,"00:15:22,031","00:15:23,382"
I thought about us going through this in therapy.,Client,disgust,undefined,8,31,1,1,"00:15:25,438","00:15:28,016"
And what did you imagine us saying?,Therapist,neutral,Open question,8,32,1,1,"00:15:29,310","00:15:32,455"
I imagined you not being able to understand it...,Client,depression,undefined,8,33,1,1,"00:15:35,548","00:15:38,284"
That you'd be disgusted.,Client,depression,undefined,8,34,1,1,"00:15:41,601","00:15:42,965"
Is that why you ran over here?,Therapist,neutral,Restatement,8,35,1,1,"00:15:45,905","00:15:47,485"
To find out if...,Therapist,neutral,Restatement,8,36,1,1,"00:15:48,151","00:15:49,194"
I would be disgusted?,Therapist,neutral,Restatement,8,37,1,1,"00:15:50,217","00:15:51,567"
I didn't run.,Client,depression,undefined,8,38,1,1,"00:15:52,831","00:15:53,831"
I gave him the hand job.,Client,depression,undefined,8,39,1,1,"00:15:57,013","00:15:58,339"
Excuse me.,Client,depression,undefined,8,40,1,1,"00:16:11,239","00:16:12,239"
Are you okay?,Therapist,neutral,Open question,8,41,1,1,"00:16:35,960","00:16:38,505"
"Yeah. Yeah, I'm fine.",Client,depression,undefined,8,42,1,1,"00:16:35,960","00:16:38,505"
Thank you.,Client,depression,undefined,8,43,1,1,"00:17:50,654","00:17:51,586"
"We talked about what happened at the club last night,",Therapist,neutral,Guiding the Pace and Depth of the Conversation,9,0,1,1,"00:17:58,523","00:18:01,455"
but we never got back to actually talking about...,Therapist,neutral,Guiding the Pace and Depth of the Conversation,9,1,1,1,"00:18:02,268","00:18:04,697"
Andrew and that argument yesterday.,Therapist,neutral,Guiding the Pace and Depth of the Conversation,9,2,1,1,"00:18:05,691","00:18:08,141"
I don't wanna be put in this position.,Client,disgust,undefined,9,3,1,1,"00:18:09,400","00:18:11,078"
I don't wanna have this power to decide our future,Client,disgust,undefined,9,4,1,1,"00:18:11,208","00:18:13,411"
for both of us. I just don't.,Client,disgust,undefined,9,5,1,1,"00:18:13,465","00:18:14,948"
Do you have any idea why Andrew chose this particular time?,Therapist,neutral,Open question,9,6,1,1,"00:18:15,240","00:18:18,336"
What do you mean?,Client,neutral,undefined,9,7,1,1,"00:18:18,624","00:18:20,412"
